                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.73886,                0.50917,                0.94783,                0.76123,                0.68357,                0.70168,                0.45292,                 1.1592,                0.86942,                 1.1259,             0.00016657,             0.00016657,             0.00016657
                     69,                0.69304,                0.48856,                0.94606,                0.73516,                0.69796,                 0.7071,                0.46148,                  1.153,                 0.8756,                 1.1056,             0.00015533,             0.00015533,             0.00015533
                     70,                0.70438,                0.48519,                0.95001,                0.66706,                0.71167,                0.71024,                0.46401,                 1.1497,                0.86577,                 1.1042,             0.00014408,             0.00014408,             0.00014408
                     71,                0.76811,                 0.5112,                 0.9188,                0.71822,                0.71635,                0.72539,                0.47724,                 1.1596,                0.85573,                 1.1232,             0.00013283,             0.00013283,             0.00013283
                     72,                0.73096,                0.46755,                 0.9216,                0.76616,                0.70689,                0.73787,                0.47439,                 1.1194,                0.81434,                 1.1052,             0.00012158,             0.00012158,             0.00012158
                     73,                0.74213,                0.47681,                0.91751,                0.71928,                0.72037,                0.72576,                0.47668,                  1.145,                0.81048,                 1.1227,             0.00011033,             0.00011033,             0.00011033
                     74,                0.72864,                0.45803,                0.92016,                0.76425,                0.68612,                 0.7386,                0.48664,                  1.139,                0.79738,                 1.1041,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     75,                0.69163,                0.44051,                 0.8984,                0.74466,                0.67484,                0.72892,                0.48392,                 1.1268,                0.79282,                 1.1025,             8.7832e-05,             8.7832e-05,             8.7832e-05
                     76,                 0.7048,                0.44885,                0.90888,                0.69735,                 0.7232,                0.71268,                0.47749,                 1.1319,                0.79305,                 1.1018,             7.6583e-05,             7.6583e-05,             7.6583e-05
                     77,                0.71228,                0.43977,                0.91004,                0.74983,                0.69197,                 0.7019,                0.47627,                 1.1324,                0.80252,                 1.1126,             6.5334e-05,             6.5334e-05,             6.5334e-05
                     78,                0.69154,                0.44329,                0.90298,                0.73763,                0.68809,                0.70639,                0.47351,                  1.138,                0.78499,                 1.1255,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     79,                0.66902,                0.43065,                0.88917,                 0.7504,                0.68491,                0.71216,                 0.4844,                 1.1342,                0.79248,                 1.1209,             4.2837e-05,             4.2837e-05,             4.2837e-05
                     80,                0.67996,                0.42345,                0.90179,                0.74686,                0.68722,                0.70595,                0.47895,                 1.1306,                0.78355,                 1.1159,             3.1588e-05,             3.1588e-05,             3.1588e-05
